Function;Mode;Size;Time;Error;Average
mandel_normal;PARALELO;256;3.07508E-02;-;221.18878173828125;
mandel_schedule_auto;PARALELO;256;2.30889E-02;0.0;221.18878173828125;
mandel_schedule_static;PARALELO;256;2.95088E-02;0.0;221.18878173828125;
mandel_schedule_guided;PARALELO;256;2.69253E-02;0.0;221.18878173828125;
mandel_schedule_runtime;PARALELO;256;2.43516E-02;0.0;221.18878173828125;
mandel_schedule_dynamic;PARALELO;256;3.12636E-02;0.0;221.18878173828125;
mandel_schedule_dynamic1;PARALELO;256;3.09114E-02;0.0;221.18878173828125;
mandel_schedule_dynamic32;PARALELO;256;2.94189E-02;0.0;221.18878173828125;
mandel_schedule_dynamic256;PARALELO;256;9.51025E-02;0.0;221.18878173828125;
mandel_schedule_dynamic1024;PARALELO;256;9.04765E-02;0.0;221.18878173828125;
mandel_normal;PARALELO;512;8.78541E-02;-;221.35943984985352;
mandel_schedule_auto;PARALELO;512;5.88782E-02;0.0;221.35943984985352;
mandel_schedule_static;PARALELO;512;9.90648E-02;0.0;221.35943984985352;
mandel_schedule_guided;PARALELO;512;8.37810E-02;0.0;221.35943984985352;
mandel_schedule_runtime;PARALELO;512;7.61328E-02;0.0;221.35943984985352;
mandel_schedule_dynamic;PARALELO;512;7.81209E-02;0.0;221.35943984985352;
mandel_schedule_dynamic1;PARALELO;512;7.12223E-02;0.0;221.35943984985352;
mandel_schedule_dynamic32;PARALELO;512;9.08620E-02;0.0;221.35943984985352;
mandel_schedule_dynamic256;PARALELO;512;2.08830E-01;0.0;221.35943984985352;
mandel_schedule_dynamic1024;PARALELO;512;3.59258E-01;0.0;221.35943984985352;
mandel_normal;PARALELO;1024;2.67698E-01;-;221.45262718200684;
mandel_schedule_auto;PARALELO;1024;2.34692E-01;0.0;221.45262718200684;
mandel_schedule_static;PARALELO;1024;2.73326E-01;0.0;221.45262718200684;
mandel_schedule_guided;PARALELO;1024;2.44796E-01;0.0;221.45262718200684;
mandel_schedule_runtime;PARALELO;1024;2.10850E-01;0.0;221.45262718200684;
mandel_schedule_dynamic;PARALELO;1024;2.09615E-01;0.0;221.45262718200684;
mandel_schedule_dynamic1;PARALELO;1024;2.12992E-01;0.0;221.45262718200684;
mandel_schedule_dynamic32;PARALELO;1024;2.18558E-01;0.0;221.45262718200684;
mandel_schedule_dynamic256;PARALELO;1024;4.36934E-01;0.0;221.45262718200684;
mandel_schedule_dynamic1024;PARALELO;1024;1.41248E+00;0.0;221.45262718200684;
mandel_normal;PARALELO;2048;1.02690E+00;-;221.49705934524536;
mandel_schedule_auto;PARALELO;2048;9.42986E-01;0.0;221.49705934524536;
mandel_schedule_static;PARALELO;2048;9.71736E-01;0.0;221.49705934524536;
mandel_schedule_guided;PARALELO;2048;7.53414E-01;0.0;221.49705934524536;
mandel_schedule_runtime;PARALELO;2048;7.72231E-01;0.0;221.49705934524536;
mandel_schedule_dynamic;PARALELO;2048;7.62941E-01;0.0;221.49705934524536;
mandel_schedule_dynamic1;PARALELO;2048;7.61617E-01;0.0;221.49705934524536;
mandel_schedule_dynamic32;PARALELO;2048;7.70680E-01;0.0;221.49705934524536;
mandel_schedule_dynamic256;PARALELO;2048;9.76222E-01;0.0;221.49705934524536;
mandel_schedule_dynamic1024;PARALELO;2048;3.30309E+00;0.0;221.49705934524536;
mandel_normal;PARALELO;4096;3.88050E+00;-;221.47212201356888;
mandel_schedule_auto;PARALELO;4096;3.84565E+00;0.0;221.47212201356888;
mandel_schedule_static;PARALELO;4096;3.85953E+00;0.0;221.47212201356888;
mandel_schedule_guided;PARALELO;4096;2.99386E+00;0.0;221.47212201356888;
mandel_schedule_runtime;PARALELO;4096;2.99672E+00;0.0;221.47212201356888;
mandel_schedule_dynamic;PARALELO;4096;3.00056E+00;0.0;221.47212201356888;
mandel_schedule_dynamic1;PARALELO;4096;3.00121E+00;0.0;221.47212201356888;
mandel_schedule_dynamic32;PARALELO;4096;3.04578E+00;0.0;221.47212201356888;
mandel_schedule_dynamic256;PARALELO;4096;3.27681E+00;0.0;221.47212201356888;
mandel_schedule_dynamic1024;PARALELO;4096;7.11649E+00;0.0;221.47212201356888;
mandel_normal;PARALELO;8192;1.55944E+01;-;221.45900481939316;
mandel_schedule_auto;PARALELO;8192;1.55306E+01;0.0;221.45900481939316;
mandel_schedule_static;PARALELO;8192;1.55194E+01;0.0;221.45900481939316;
mandel_schedule_guided;PARALELO;8192;1.20620E+01;0.0;221.45900481939316;
mandel_schedule_runtime;PARALELO;8192;1.19971E+01;0.0;221.45900481939316;
mandel_schedule_dynamic;PARALELO;8192;1.20315E+01;0.0;221.45900481939316;
mandel_schedule_dynamic1;PARALELO;8192;1.20281E+01;0.0;221.45900481939316;
mandel_schedule_dynamic32;PARALELO;8192;1.20884E+01;0.0;221.45900481939316;
mandel_schedule_dynamic256;PARALELO;8192;1.23654E+01;0.0;221.45900481939316;
mandel_schedule_dynamic1024;PARALELO;8192;1.54765E+01;0.0;221.45900481939316;
