Function;Mode;Size;Time;Error;Average
mandel_normal;PARALELO;256;2.94759E-02;-;221.18878173828125;
mandel_schedule_auto;PARALELO;256;3.37505E-02;0.0;221.18878173828125;
mandel_schedule_static;PARALELO;256;5.06740E-02;0.0;221.18878173828125;
mandel_schedule_guided;PARALELO;256;3.85053E-02;0.0;221.18878173828125;
mandel_schedule_runtime;PARALELO;256;3.38879E-02;0.0;221.18878173828125;
mandel_schedule_dynamic;PARALELO;256;3.68495E-02;0.0;221.18878173828125;
mandel_schedule_dynamic1;PARALELO;256;3.38964E-02;0.0;221.18878173828125;
mandel_schedule_dynamic32;PARALELO;256;3.72279E-02;0.0;221.18878173828125;
mandel_schedule_dynamic256;PARALELO;256;1.02522E-01;0.0;221.18878173828125;
mandel_schedule_dynamic1024;PARALELO;256;9.46481E-02;0.0;221.18878173828125;
mandel_normal;PARALELO;512;8.70736E-02;-;221.35943984985352;
mandel_schedule_auto;PARALELO;512;5.89497E-02;0.0;221.35943984985352;
mandel_schedule_static;PARALELO;512;9.66082E-02;0.0;221.35943984985352;
mandel_schedule_guided;PARALELO;512;8.43594E-02;0.0;221.35943984985352;
mandel_schedule_runtime;PARALELO;512;8.70357E-02;0.0;221.35943984985352;
mandel_schedule_dynamic;PARALELO;512;7.91020E-02;0.0;221.35943984985352;
mandel_schedule_dynamic1;PARALELO;512;8.86297E-02;0.0;221.35943984985352;
mandel_schedule_dynamic32;PARALELO;512;8.85317E-02;0.0;221.35943984985352;
mandel_schedule_dynamic256;PARALELO;512;2.11421E-01;0.0;221.35943984985352;
mandel_schedule_dynamic1024;PARALELO;512;3.55580E-01;0.0;221.35943984985352;
mandel_normal;PARALELO;1024;2.87798E-01;-;221.45262718200684;
mandel_schedule_auto;PARALELO;1024;2.34860E-01;0.0;221.45262718200684;
mandel_schedule_static;PARALELO;1024;2.71163E-01;0.0;221.45262718200684;
mandel_schedule_guided;PARALELO;1024;2.12345E-01;0.0;221.45262718200684;
mandel_schedule_runtime;PARALELO;1024;2.13084E-01;0.0;221.45262718200684;
mandel_schedule_dynamic;PARALELO;1024;2.22519E-01;0.0;221.45262718200684;
mandel_schedule_dynamic1;PARALELO;1024;2.13359E-01;0.0;221.45262718200684;
mandel_schedule_dynamic32;PARALELO;1024;2.24925E-01;0.0;221.45262718200684;
mandel_schedule_dynamic256;PARALELO;1024;4.40542E-01;0.0;221.45262718200684;
mandel_schedule_dynamic1024;PARALELO;1024;1.43173E+00;0.0;221.45262718200684;
mandel_normal;PARALELO;2048;1.00962E+00;-;221.49705934524536;
mandel_schedule_auto;PARALELO;2048;9.66233E-01;0.0;221.49705934524536;
mandel_schedule_static;PARALELO;2048;9.71493E-01;0.0;221.49705934524536;
mandel_schedule_guided;PARALELO;2048;7.61055E-01;0.0;221.49705934524536;
mandel_schedule_runtime;PARALELO;2048;7.70701E-01;0.0;221.49705934524536;
mandel_schedule_dynamic;PARALELO;2048;7.88781E-01;0.0;221.49705934524536;
mandel_schedule_dynamic1;PARALELO;2048;7.60615E-01;0.0;221.49705934524536;
mandel_schedule_dynamic32;PARALELO;2048;7.70494E-01;0.0;221.49705934524536;
mandel_schedule_dynamic256;PARALELO;2048;9.76078E-01;0.0;221.49705934524536;
mandel_schedule_dynamic1024;PARALELO;2048;3.31049E+00;0.0;221.49705934524536;
mandel_normal;PARALELO;4096;3.82829E+00;-;221.47212201356888;
mandel_schedule_auto;PARALELO;4096;3.79548E+00;0.0;221.47212201356888;
mandel_schedule_static;PARALELO;4096;3.79937E+00;0.0;221.47212201356888;
mandel_schedule_guided;PARALELO;4096;2.95060E+00;0.0;221.47212201356888;
mandel_schedule_runtime;PARALELO;4096;2.98482E+00;0.0;221.47212201356888;
mandel_schedule_dynamic;PARALELO;4096;2.98665E+00;0.0;221.47212201356888;
mandel_schedule_dynamic1;PARALELO;4096;2.98379E+00;0.0;221.47212201356888;
mandel_schedule_dynamic32;PARALELO;4096;3.03368E+00;0.0;221.47212201356888;
mandel_schedule_dynamic256;PARALELO;4096;3.26193E+00;0.0;221.47212201356888;
mandel_schedule_dynamic1024;PARALELO;4096;7.10923E+00;0.0;221.47212201356888;
mandel_normal;PARALELO;8192;1.55494E+01;-;221.45900481939316;
mandel_schedule_auto;PARALELO;8192;1.55550E+01;0.0;221.45900481939316;
mandel_schedule_static;PARALELO;8192;1.54875E+01;0.0;221.45900481939316;
mandel_schedule_guided;PARALELO;8192;1.20078E+01;0.0;221.45900481939316;
mandel_schedule_runtime;PARALELO;8192;1.20035E+01;0.0;221.45900481939316;
mandel_schedule_dynamic;PARALELO;8192;1.19982E+01;0.0;221.45900481939316;
mandel_schedule_dynamic1;PARALELO;8192;1.20113E+01;0.0;221.45900481939316;
mandel_schedule_dynamic32;PARALELO;8192;1.21001E+01;0.0;221.45900481939316;
mandel_schedule_dynamic256;PARALELO;8192;1.23837E+01;0.0;221.45900481939316;
mandel_schedule_dynamic1024;PARALELO;8192;1.54805E+01;0.0;221.45900481939316;
