Function;Mode;Size;Time
mandel_normal;PARALELO;256;3.25277E-02
mandel_collapse;PARALELO;256;3.22254E-02
mandel_tasks;PARALELO;256;1.03125E-01
mandel_schedule_guided;PARALELO;256;4.64830E-02
mandel_normal;PARALELO;512;9.99491E-02
mandel_collapse;PARALELO;512;5.96883E-02
mandel_tasks;PARALELO;512;3.12409E-01
mandel_schedule_guided;PARALELO;512;7.45308E-02
mandel_normal;PARALELO;1024;2.59995E-01
mandel_collapse;PARALELO;1024;2.38249E-01
mandel_tasks;PARALELO;1024;1.15050E+00
mandel_schedule_guided;PARALELO;1024;2.08591E-01
mandel_normal;PARALELO;2048;1.03012E+00
mandel_collapse;PARALELO;2048;9.77751E-01
mandel_tasks;PARALELO;2048;4.33916E+00
mandel_schedule_guided;PARALELO;2048;7.76486E-01
mandel_normal;PARALELO;4096;3.95177E+00
mandel_collapse;PARALELO;4096;3.91136E+00
mandel_tasks;PARALELO;4096;1.74192E+01
mandel_schedule_guided;PARALELO;4096;3.05687E+00
mandel_normal;PARALELO;8192;1.56049E+01
mandel_collapse;PARALELO;8192;1.55858E+01
mandel_tasks;PARALELO;8192;7.02695E+01
mandel_schedule_guided;PARALELO;8192;1.21249E+01
