Function;Mode;Size;Time;Error;Average
mandel_normal;PARALELO;256;2.88088E-02;-;221.18878173828125;
mandel_schedule_auto;PARALELO;256;2.94197E-02;0.0;221.18878173828125;
mandel_schedule_static;PARALELO;256;3.69985E-02;0.0;221.18878173828125;
mandel_schedule_guided;PARALELO;256;4.92342E-02;0.0;221.18878173828125;
mandel_schedule_runtime;PARALELO;256;3.53727E-02;0.0;221.18878173828125;
mandel_schedule_dynamic;PARALELO;256;3.38757E-02;0.0;221.18878173828125;
mandel_schedule_dynamic1;PARALELO;256;2.60897E-02;0.0;221.18878173828125;
mandel_schedule_dynamic32;PARALELO;256;2.77543E-02;0.0;221.18878173828125;
mandel_schedule_dynamic256;PARALELO;256;9.92103E-02;0.0;221.18878173828125;
mandel_schedule_dynamic1024;PARALELO;256;8.98147E-02;0.0;221.18878173828125;
mandel_normal;PARALELO;512;9.97837E-02;-;221.35943984985352;
mandel_schedule_auto;PARALELO;512;6.24385E-02;0.0;221.35943984985352;
mandel_schedule_static;PARALELO;512;9.59530E-02;0.0;221.35943984985352;
mandel_schedule_guided;PARALELO;512;8.08966E-02;0.0;221.35943984985352;
mandel_schedule_runtime;PARALELO;512;7.65641E-02;0.0;221.35943984985352;
mandel_schedule_dynamic;PARALELO;512;7.62196E-02;0.0;221.35943984985352;
mandel_schedule_dynamic1;PARALELO;512;8.11720E-02;0.0;221.35943984985352;
mandel_schedule_dynamic32;PARALELO;512;8.60300E-02;0.0;221.35943984985352;
mandel_schedule_dynamic256;PARALELO;512;2.12876E-01;0.0;221.35943984985352;
mandel_schedule_dynamic1024;PARALELO;512;3.56329E-01;0.0;221.35943984985352;
mandel_normal;PARALELO;1024;2.61418E-01;-;221.45262718200684;
mandel_schedule_auto;PARALELO;1024;2.33526E-01;0.0;221.45262718200684;
mandel_schedule_static;PARALELO;1024;2.69979E-01;0.0;221.45262718200684;
mandel_schedule_guided;PARALELO;1024;2.12430E-01;0.0;221.45262718200684;
mandel_schedule_runtime;PARALELO;1024;2.14058E-01;0.0;221.45262718200684;
mandel_schedule_dynamic;PARALELO;1024;2.16599E-01;0.0;221.45262718200684;
mandel_schedule_dynamic1;PARALELO;1024;2.15267E-01;0.0;221.45262718200684;
mandel_schedule_dynamic32;PARALELO;1024;2.21899E-01;0.0;221.45262718200684;
mandel_schedule_dynamic256;PARALELO;1024;4.68604E-01;0.0;221.45262718200684;
mandel_schedule_dynamic1024;PARALELO;1024;1.41169E+00;0.0;221.45262718200684;
mandel_normal;PARALELO;2048;9.59393E-01;-;221.49705934524536;
mandel_schedule_auto;PARALELO;2048;9.35708E-01;0.0;221.49705934524536;
mandel_schedule_static;PARALELO;2048;9.63931E-01;0.0;221.49705934524536;
mandel_schedule_guided;PARALELO;2048;7.46506E-01;0.0;221.49705934524536;
mandel_schedule_runtime;PARALELO;2048;7.54745E-01;0.0;221.49705934524536;
mandel_schedule_dynamic;PARALELO;2048;7.51067E-01;0.0;221.49705934524536;
mandel_schedule_dynamic1;PARALELO;2048;7.51132E-01;0.0;221.49705934524536;
mandel_schedule_dynamic32;PARALELO;2048;7.63191E-01;0.0;221.49705934524536;
mandel_schedule_dynamic256;PARALELO;2048;9.66645E-01;0.0;221.49705934524536;
mandel_schedule_dynamic1024;PARALELO;2048;3.29209E+00;0.0;221.49705934524536;
mandel_normal;PARALELO;4096;3.81847E+00;-;221.47212201356888;
mandel_schedule_auto;PARALELO;4096;3.82035E+00;0.0;221.47212201356888;
mandel_schedule_static;PARALELO;4096;3.82687E+00;0.0;221.47212201356888;
mandel_schedule_guided;PARALELO;4096;2.94161E+00;0.0;221.47212201356888;
mandel_schedule_runtime;PARALELO;4096;2.98271E+00;0.0;221.47212201356888;
mandel_schedule_dynamic;PARALELO;4096;2.99106E+00;0.0;221.47212201356888;
mandel_schedule_dynamic1;PARALELO;4096;2.99291E+00;0.0;221.47212201356888;
mandel_schedule_dynamic32;PARALELO;4096;2.98870E+00;0.0;221.47212201356888;
mandel_schedule_dynamic256;PARALELO;4096;3.23301E+00;0.0;221.47212201356888;
mandel_schedule_dynamic1024;PARALELO;4096;7.04480E+00;0.0;221.47212201356888;
mandel_normal;PARALELO;8192;1.54926E+01;-;221.45900481939316;
mandel_schedule_auto;PARALELO;8192;1.54630E+01;0.0;221.45900481939316;
mandel_schedule_static;PARALELO;8192;1.55260E+01;0.0;221.45900481939316;
mandel_schedule_guided;PARALELO;8192;1.19926E+01;0.0;221.45900481939316;
mandel_schedule_runtime;PARALELO;8192;1.19111E+01;0.0;221.45900481939316;
mandel_schedule_dynamic;PARALELO;8192;1.19324E+01;0.0;221.45900481939316;
mandel_schedule_dynamic1;PARALELO;8192;1.19479E+01;0.0;221.45900481939316;
mandel_schedule_dynamic32;PARALELO;8192;1.20701E+01;0.0;221.45900481939316;
mandel_schedule_dynamic256;PARALELO;8192;1.23607E+01;0.0;221.45900481939316;
mandel_schedule_dynamic1024;PARALELO;8192;1.54490E+01;0.0;221.45900481939316;
