Function;Mode;Size;Time
mandel_normal;SECUENCIAL;256;1.39869E-01
mandel_normal;SECUENCIAL;512;3.53106E-01
mandel_normal;SECUENCIAL;1024;1.41243E+00
mandel_normal;SECUENCIAL;2048;5.85210E+00
mandel_normal;SECUENCIAL;4096;2.34268E+01
mandel_normal;SECUENCIAL;8192;9.37155E+01
mandelProf;PARALELO;256;9.04045E-02
mandel_normal;PARALELO;256;2.17667E-02
mandel_collapse;PARALELO;256;4.70862E-02
mandel_tasks;PARALELO;256;1.11118E-01
mandel_schedule_guided;PARALELO;256;4.45871E-02
mandelProf;PARALELO;512;3.35273E-01
mandel_normal;PARALELO;512;5.95307E-02
mandel_collapse;PARALELO;512;9.04350E-02
mandel_tasks;PARALELO;512;3.50839E-01
mandel_schedule_guided;PARALELO;512;8.39310E-02
mandelProf;PARALELO;1024;1.08859E+00
mandel_normal;PARALELO;1024;2.37739E-01
mandel_collapse;PARALELO;1024;2.75053E-01
mandel_tasks;PARALELO;1024;1.10892E+00
mandel_schedule_guided;PARALELO;1024;2.17818E-01
mandelProf;PARALELO;2048;4.30827E+00
mandel_normal;PARALELO;2048;9.70421E-01
mandel_collapse;PARALELO;2048;1.00372E+00
mandel_tasks;PARALELO;2048;4.35265E+00
mandel_schedule_guided;PARALELO;2048;7.83280E-01
mandelProf;PARALELO;4096;1.73376E+01
mandel_normal;PARALELO;4096;3.89071E+00
mandel_collapse;PARALELO;4096;3.89370E+00
mandel_tasks;PARALELO;4096;1.75559E+01
mandel_schedule_guided;PARALELO;4096;3.03110E+00
mandelProf;PARALELO;8192;6.83852E+01
mandel_normal;PARALELO;8192;1.56062E+01
mandel_collapse;PARALELO;8192;1.55989E+01
mandel_tasks;PARALELO;8192;7.05668E+01
mandel_schedule_guided;PARALELO;8192;1.21187E+01
