Function;Mode;Size;Time
mandel_normal;SECUENCIAL;256;1.34014E-01
mandel_normal;SECUENCIAL;512;4.70818E-01
mandel_normal;SECUENCIAL;1024;1.88374E+00
mandel_normal;SECUENCIAL;2048;7.53488E+00
mandel_normal;SECUENCIAL;4096;3.01333E+01
mandel_normal;SECUENCIAL;8192;1.20521E+02
mandelProf;PARALELO;256;8.00855E-02
mandel_normal;PARALELO;256;6.80301E-02
mandel_collapse;PARALELO;256;7.87916E-02
mandel_tasks;PARALELO;256;9.97620E-02
mandel_schedule_guided;PARALELO;256;8.30307E-02
mandelProf;PARALELO;512;2.95763E-01
mandel_normal;PARALELO;512;2.72392E-01
mandel_collapse;PARALELO;512;3.15819E-01
mandel_tasks;PARALELO;512;2.88623E-01
mandel_schedule_guided;PARALELO;512;2.58775E-01
mandelProf;PARALELO;1024;1.13559E+00
mandel_normal;PARALELO;1024;1.08968E+00
mandel_collapse;PARALELO;1024;1.12907E+00
mandel_tasks;PARALELO;1024;1.10138E+00
mandel_schedule_guided;PARALELO;1024;9.76992E-01
mandelProf;PARALELO;2048;4.49367E+00
mandel_normal;PARALELO;2048;4.35530E+00
mandel_collapse;PARALELO;2048;4.40401E+00
mandel_tasks;PARALELO;2048;4.38984E+00
mandel_schedule_guided;PARALELO;2048;3.78883E+00
mandelProf;PARALELO;4096;1.79067E+01
mandel_normal;PARALELO;4096;1.74238E+01
mandel_collapse;PARALELO;4096;1.74979E+01
mandel_tasks;PARALELO;4096;1.73729E+01
mandel_schedule_guided;PARALELO;4096;1.50868E+01
mandelProf;PARALELO;8192;7.15218E+01
mandel_normal;PARALELO;8192;6.96689E+01
mandel_collapse;PARALELO;8192;6.98936E+01
mandel_tasks;PARALELO;8192;6.93653E+01
mandel_schedule_guided;PARALELO;8192;6.03137E+01
