Function;Mode;Size;Time
mandel_normal;SECUENCIAL;256;1.97130E-01
mandel_normal;SECUENCIAL;512;6.88506E-01
mandel_normal;SECUENCIAL;1024;2.75396E+00
mandel_normal;SECUENCIAL;2048;1.40151E+01
mandel_normal;SECUENCIAL;4096;6.63316E+01
mandel_normal;SECUENCIAL;8192;2.65310E+02
mandelProf;PARALELO;256;2.37614E-01
mandel_normal;PARALELO;256;2.81866E-02
mandel_collapse;PARALELO;256;4.70963E-02
mandel_tasks;PARALELO;256;2.06882E-01
mandel_schedule_guided;PARALELO;256;5.11444E-02
mandelProf;PARALELO;512;8.75940E-01
mandel_normal;PARALELO;512;1.12862E-01
mandel_collapse;PARALELO;512;1.78033E-01
mandel_tasks;PARALELO;512;1.02950E+00
mandel_schedule_guided;PARALELO;512;1.41982E-01
mandelProf;PARALELO;1024;4.02685E+00
mandel_normal;PARALELO;1024;4.50252E-01
mandel_collapse;PARALELO;1024;5.16575E-01
mandel_tasks;PARALELO;1024;3.99392E+00
mandel_schedule_guided;PARALELO;1024;3.96323E-01
mandelProf;PARALELO;2048;1.57198E+01
mandel_normal;PARALELO;2048;1.84834E+00
mandel_collapse;PARALELO;2048;1.89884E+00
mandel_tasks;PARALELO;2048;1.52220E+01
mandel_schedule_guided;PARALELO;2048;1.45190E+00
mandelProf;PARALELO;4096;5.99239E+01
mandel_normal;PARALELO;4096;7.41138E+00
mandel_collapse;PARALELO;4096;7.60028E+00
mandel_tasks;PARALELO;4096;5.69315E+01
mandel_schedule_guided;PARALELO;4096;5.66320E+00
mandelProf;PARALELO;8192;2.50907E+02
mandel_normal;PARALELO;8192;2.95593E+01
mandel_collapse;PARALELO;8192;3.05793E+01
mandel_tasks;PARALELO;8192;2.44916E+02
mandel_schedule_guided;PARALELO;8192;2.25505E+01
