Function;Mode;Size;Time;TPB
mandelGPU_normal;GPU;1024;4.70755E-02;32
mandelGPU_pinned;GPU;1024;4.95934E-02;32
mandelGPU_unified;GPU;1024;4.87761E-02;32
mandelGPU_normal;GPU;2048;1.71219E-01;32
mandelGPU_pinned;GPU;2048;1.81279E-01;32
mandelGPU_unified;GPU;2048;1.76846E-01;32
mandelGPU_normal;GPU;4096;6.34652E-01;32
mandelGPU_pinned;GPU;4096;6.72987E-01;32
mandelGPU_unified;GPU;4096;6.57034E-01;32
mandelGPU_normal;GPU;8192;2.37870E+00;32
mandelGPU_pinned;GPU;8192;2.52839E+00;32
mandelGPU_unified;GPU;8192;2.46163E+00;32
mandelGPU_normal;GPU;10240;3.64945E+00;32
mandelGPU_pinned;GPU;10240;3.88451E+00;32
mandelGPU_unified;GPU;10240;3.76794E+00;32
