Function;Mode;Size;Time;TPB
mandelProf;GPU;1024;4.67305E-02;32
mandelGPU_normal;GPU;1024;4.67312E-02;32
mandelGPU_heter;GPU;1024;5.27456E-02;32
mandelGPU_unified;GPU;1024;4.83272E-02;32
mandelGPU_pinned;GPU;1024;4.93622E-02;32
mandelGPU_1D;GPU;1024;9.70759E-02;32
mandelProf;GPU;2048;1.70051E-01;32
mandelGPU_normal;GPU;2048;1.69900E-01;32
mandelGPU_heter;GPU;2048;1.74356E-01;32
mandelGPU_unified;GPU;2048;1.74816E-01;32
mandelGPU_pinned;GPU;2048;1.80335E-01;32
mandelGPU_1D;GPU;2048;2.82538E-01;32
mandelProf;GPU;4096;6.29858E-01;32
mandelGPU_normal;GPU;4096;6.29784E-01;32
mandelGPU_heter;GPU;4096;6.36222E-01;32
mandelGPU_unified;GPU;4096;6.53396E-01;32
mandelGPU_pinned;GPU;4096;6.69004E-01;32
mandelGPU_1D;GPU;4096;7.31733E-01;32
mandelProf;GPU;8192;2.36301E+00;32
mandelGPU_normal;GPU;8192;2.36094E+00;32
mandelGPU_heter;GPU;8192;2.37734E+00;32
mandelGPU_unified;GPU;8192;2.45203E+00;32
mandelGPU_pinned;GPU;8192;2.52707E+00;32
mandelGPU_1D;GPU;8192;2.70434E+00;32
mandelProf;GPU;10240;3.64690E+00;32
mandelGPU_normal;GPU;10240;3.64716E+00;32
mandelGPU_heter;GPU;10240;3.67192E+00;32
mandelGPU_unified;GPU;10240;3.78845E+00;32
mandelGPU_pinned;GPU;10240;3.88517E+00;32
mandelGPU_1D;GPU;10240;3.94386E+00;32
